kind,sym,tf,exit,sharpe,mc_p5,max_dd,months_in_profit,ann_turnover
crypto,LTCUSDT,1d,atr_trailing,-0.1916549255301171,,-0.3315234679576262,0.31645569620253167,2.324088065743941
crypto,LTCUSDT,1d,reversal,-0.11181694390841723,,-0.349847891518979,0.5063291139240507,1.8505968694268125
crypto,ETCUSDT,1d,triple_barrier,0.6862778307147653,0.16573336407144926,-0.061874972793617866,0.2911392405063291,2.8323205958659385
crypto,ETCUSDT,1d,time,0.25300403546677996,,-0.13784217184671987,0.3037974683544304,2.543942987720542
crypto,ETCUSDT,1d,channel,0.2140880007675565,,-0.28095475845808693,0.4177215189873418,1.82809852215607
crypto,ETCUSDT,1d,atr_trailing,0.2396360734782767,,-0.21672430939954268,0.3670886075949367,1.9204831292499667
crypto,ETCUSDT,1d,reversal,-0.0015864103195213878,,-0.44281806737339047,0.4936708860759494,1.6884634614921552
equity,SPY,1d,triple_barrier,0.025773681709028037,,-0.20205199979842592,0.4034090909090909,18.17520107923583
equity,SPY,1d,time,-0.16093319310273937,,-0.46491208163064135,0.3977272727272727,12.306333365270884
equity,SPY,1d,channel,-0.08154051038354986,,-0.40227433014291725,0.44886363636363635,7.604519702565974
equity,SPY,1d,atr_trailing,-0.08061698671407132,,-0.46055707575885974,0.4431818181818182,8.01171857826066
equity,SPY,1d,reversal,0.007883991404960418,,-0.4690927234306914,0.5511363636363636,5.41237435823704
equity,QQQ,1d,triple_barrier,-0.1388671195048918,,-0.3578976745775697,0.3352272727272727,15.244662150635802
equity,QQQ,1d,time,-0.13006863698789806,,-0.4462559275716039,0.3806818181818182,9.699169942635388
equity,QQQ,1d,channel,0.07107661516253454,,-0.42315815983257343,0.4659090909090909,5.333331047592848
equity,QQQ,1d,atr_trailing,0.0009188697236019262,,-0.35455772697528465,0.4431818181818182,6.131625749246834
equity,QQQ,1d,reversal,0.07668627716841675,,-0.46644330413503376,0.5454545454545454,3.832751645913866
equity,AAPL,1d,triple_barrier,0.15839662118637018,,-0.14826315530620415,0.3465909090909091,8.491008122388862
equity,AAPL,1d,time,0.006337455554407444,,-0.3759741404683118,0.35795454545454547,5.309600719342585
equity,AAPL,1d,channel,-0.02818039069208923,,-0.40420679393365533,0.4147727272727273,3.6180734768930707
equity,AAPL,1d,atr_trailing,0.17437072658863326,,-0.3014828556165864,0.4034090909090909,3.6475927472756347
equity,AAPL,1d,reversal,0.04210261802857167,,-0.5166628157437413,0.5227272727272727,2.7195927721159374
