asset_class,symbol,tf,entry,sharpe,pnl_share,risk_contrib,n_obs
crypto,HBARUSDT,4h,blend,0.46,0.0017954076838614926,0.0014136308051966755,2498
crypto,FETUSDT,1d,ema,0.34,0.0019407611880210582,0.0013894300285554708,2711
crypto,ALGOUSDT,1d,blend,0.47,0.001655958110714323,0.0013852669075695692,2597
crypto,SUIUSDT,4h,blend,0.57,0.0010886190118415912,0.0013699855060792263,1186
crypto,ICPUSDT,1d,ema,0.2,0.0009193256898956505,0.001365502609368781,1908
crypto,DASHUSDT,1d,blend,-0.11,-0.00038908332443203617,0.0013539205299167992,2683
crypto,ENSUSDT,1h,blend,-0.61,-0.0016067764658375266,0.0013476751835713612,1705
crypto,IOTAUSDT,1d,blend,0.15,0.0005649759186893318,0.001336031045382727,2984
crypto,MKRUSDT,1h,blend,0.27,0.001070068495335972,0.0013342858167699463,2179
crypto,NEARUSDT,1d,blend,0.61,0.002061109662905634,0.0013331646208830418,2116
crypto,COMPUSDT,1d,blend,0.23,0.0006575960059327995,0.0012729745441682192,2223
crypto,1000LUNCUSDT,4h,blend,0.53,0.001197979471515367,0.00123324426659374,1422
crypto,ENSUSDT,4h,blend,-0.0,-3.1312669594869975e-06,0.0012292385070914558,1705
crypto,MKRUSDT,1d,blend,0.54,0.001927400414359029,0.0012009331841880508,2179
crypto,UNIUSDT,1d,blend,0.34,0.000989661818384888,0.0011459409774854208,2143
crypto,1000FLOKIUSDT,1d,blend,0.62,0.001056263498625569,0.0011288472425052556,1183
crypto,HBARUSDT,1d,blend,0.4,0.0012488786614711694,0.0011276066067392359,2498
crypto,1000LUNCUSDT,1h,blend,0.37,0.0010275759197004705,0.0011269668032456955,1422
crypto,SUIUSDT,1d,blend,0.66,0.001066636836479306,0.0011157660773017416,1186
crypto,CRVUSDT,1d,blend,-0.06,-0.0001436324227700946,0.0010511786024022314,2160
crypto,FILUSDT,1d,blend,0.22,0.0005417117603153515,0.0010419359002383655,2115
crypto,APTUSDT,1d,blend,-0.12,-0.00018354292047193836,0.0010205769877863877,1382
crypto,GRTUSDT,1d,blend,0.24,0.0005583123641043831,0.0009973096572257268,2051
crypto,LDOUSDT,1d,blend,-0.16,-0.00023282699939252907,0.0009601473801558122,1409
crypto,OPUSDT,1d,blend,0.46,0.0008993430324181097,0.0009238695465933052,1522
crypto,IMXUSDT,1d,blend,0.42,0.0007968990581993546,0.0009110905349551595,1632
crypto,1000SHIBUSDT,1d,blend,0.42,0.0010095175493988729,0.0009036068400839831,1909
