asset_class,symbol,tf,group,spec,entry,direction,exit,gate,sharpe,sortino,max_dd,months_in_profit,ann_turnover,total_return,n_obs
crypto,ETHUSDT,1d,entry,"ema|fast50,slow200|reversal|ls",ema,ls,reversal,-,0.06,0.079,-0.4089,0.491,1.4,-0.0245,3271
crypto,ETHUSDT,1d,entry,"ema|fast100,slow300|reversal|ls",ema,ls,reversal,-,-0.049,-0.064,-0.4523,0.472,1.3,-0.1612,3271
crypto,ETHUSDT,1d,entry,"sma|fast50,slow200|reversal|ls",sma,ls,reversal,-,0.149,0.193,-0.3344,0.481,1.3,0.1039,3271
crypto,ETHUSDT,1d,entry,tsmom|lookback30|reversal|ls,tsmom,ls,reversal,-,0.843,1.221,-0.1615,0.546,11.1,1.8916,3271
crypto,ETHUSDT,1d,entry,tsmom|lookback90|reversal|ls,tsmom,ls,reversal,-,0.578,0.794,-0.2492,0.537,5.4,1.0032,3271
crypto,ETHUSDT,1d,entry,"macd|fast12,slow26|reversal|ls",macd,ls,reversal,-,0.239,0.343,-0.3039,0.519,11.2,0.2518,3271
crypto,ETHUSDT,1d,entry,donchian|lookback55|reversal|ls,donchian,ls,reversal,-,0.347,0.469,-0.2939,0.472,1.8,0.4542,3271
crypto,ETHUSDT,1d,entry,blend|ls,blend,ls,-,-,0.464,0.568,-0.1468,0.444,1.6,0.3844,3271
crypto,ETHUSDT,1d,entry,strength|ls,strength,ls,-,-,0.479,0.6,-0.1851,0.472,4.5,0.5366,3271
crypto,ETHUSDT,1d,direction,"ema|fast50,slow200|reversal|long_only",ema,long_only,reversal,-,0.342,0.33,-0.2879,0.296,0.7,0.3392,3271
crypto,ETHUSDT,1d,direction,"ema|fast50,slow200|reversal|short_only",ema,short_only,reversal,-,-0.287,-0.256,-0.4588,0.269,0.7,-0.2714,3271
crypto,ETHUSDT,1d,direction,"ema|fast50,slow200|reversal|asym",ema,asym,reversal,-,0.254,0.312,-0.3159,0.491,0.9,0.2303,3271
crypto,ETHUSDT,1d,exit,"ema|fast50,slow200|atr_trailing|ls",ema,ls,atr_trailing,-,-0.034,-0.044,-0.4657,0.481,4.6,-0.1399,3271
crypto,ETHUSDT,1d,exit,"ema|fast50,slow200|channel|ls",ema,ls,channel,-,0.066,0.086,-0.4455,0.481,5.3,-0.0136,3271
crypto,ETHUSDT,1d,gate,"ema|fast50,slow200|g:adx|reversal|ls",ema,ls,reversal,adx,0.081,0.107,-0.3995,0.491,1.4,0.0052,3271
crypto,ETHUSDT,1d,gate,"ema|fast50,slow200|g:ltf|reversal|ls",ema,ls,reversal,ltf,0.06,0.079,-0.4089,0.491,1.4,-0.0245,3271
crypto,ETHUSDT,1d,gate,"ema|fast50,slow200|g:vol|reversal|ls",ema,ls,reversal,vol,0.091,0.109,-0.3238,0.417,1.2,0.0253,3271
crypto,ETHUSDT,1d,headline,blend|long_only,blend,long_only,-,-,0.657,0.594,-0.0831,0.287,0.7,0.4102,3271
crypto,ETHUSDT,1d,headline,blend|asym,blend,asym,-,-,0.628,0.748,-0.0909,0.417,1.0,0.4073,3271
crypto,ETHUSDT,4h,entry,"ema|fast20,slow100|reversal|ls",ema,ls,reversal,-,0.769,1.205,-0.2148,0.602,17.6,1.8909,3271
crypto,ETHUSDT,4h,entry,"ema|fast50,slow200|reversal|ls",ema,ls,reversal,-,0.724,1.067,-0.39,0.546,10.1,1.69,3271
crypto,ETHUSDT,4h,entry,"ema|fast100,slow300|reversal|ls",ema,ls,reversal,-,0.514,0.713,-0.3397,0.5,7.9,0.944,3271
crypto,ETHUSDT,4h,entry,"sma|fast50,slow200|reversal|ls",sma,ls,reversal,-,0.964,1.425,-0.2439,0.546,10.3,2.9074,3271
crypto,ETHUSDT,4h,entry,tsmom|lookback30|reversal|ls,tsmom,ls,reversal,-,0.602,1.053,-0.2958,0.537,84.2,1.1875,3271
crypto,ETHUSDT,4h,entry,tsmom|lookback90|reversal|ls,tsmom,ls,reversal,-,0.467,0.71,-0.2643,0.574,49.7,0.8028,3271
crypto,ETHUSDT,4h,entry,"macd|fast12,slow26|reversal|ls",macd,ls,reversal,-,0.338,0.551,-0.3129,0.556,79.8,0.4635,3271
crypto,ETHUSDT,4h,entry,donchian|lookback55|reversal|ls,donchian,ls,reversal,-,0.735,1.162,-0.2325,0.556,13.2,1.6973,3271
crypto,ETHUSDT,4h,entry,blend|ls,blend,ls,-,-,0.954,1.438,-0.0874,0.565,11.2,1.1616,3271
crypto,ETHUSDT,4h,entry,strength|ls,strength,ls,-,-,0.812,1.264,-0.1334,0.528,35.4,1.2142,3271
crypto,ETHUSDT,4h,direction,"ema|fast50,slow200|reversal|long_only",ema,long_only,reversal,-,0.807,0.864,-0.2021,0.398,5.0,1.289,3271
crypto,ETHUSDT,4h,direction,"ema|fast50,slow200|reversal|short_only",ema,short_only,reversal,-,0.21,0.218,-0.3699,0.306,5.1,0.1768,3271
crypto,ETHUSDT,4h,direction,"ema|fast50,slow200|reversal|asym",ema,asym,reversal,-,0.833,1.125,-0.2148,0.546,6.5,1.4325,3271
